_completed,_id,_language,_created_at,_updated_at,_ip_address,_locale,_username,_get_variables,_referrer,_saves,_weighted_score,_completion_time,_invite_code,_invite_email,_invite_name,_collector_id,id ,dmg.0 ,dmg.1 ,dmg.2 ,dmg.3 ,dmg.4 ,how_often_you_play ,gaming_system_xbox_360,gaming_system_playstation_3,gaming_system_playstation_2,gaming_system_nintendo_wii,gaming_system_computer,gaming_system_tablet,gaming_system_smartphone,gaming_system_dedicated_mobile,gaming_system_other,gaming_system_other_text,game_experience.0 ,game_experience.1 ,game_experience.2 ,game_experience.3 ,play_style ,experience_rate.0 ,experience_rate.1 ,experience_rate.2 ,experience_rate.3 ,experience_rate.4 ,experience_rate.5 ,experience_rate.6 ,experience_rate.7 ,experience_rate.8 ,experience_rate.9 ,experience_rate.10 ,experience_rate.11 ,experience_rate.12 ,experience_rate.13 ,experience_rate.14 ,experience_rate.15 ,experience_rate.16 ,experience_rate.17 ,experience_rate.18 ,experience_rate.19 ,experience_rate.20 ,preferance_rating.0 ,preferance_rating.1 ,preferance_rating.2 ,preferance_rating.3 ,preferance_rating.4 ,preferance_rating.5 ,preferance_rating.6 ,condition ,comment ,sama ,samv ,samd ,imi.0 ,imi.1 ,imi.2 ,imi.3 ,imi.4 ,imi.5 ,imi.6 ,imi.7 ,imi.8 ,imi.9 ,imi.10 ,imi.11 ,imi.12 ,pens.0 ,pens.1 ,pens.2 ,pens.3 ,pens.4 ,pens.5 ,pens.6 ,pens.7 ,pens.8 ,pens.9 ,pens.10 ,pens.11 ,pens.12 ,pens.13 ,pens.14 ,pens.15 ,pens.16 ,pens.17 ,pens.18 ,pens.19 ,pens.20 ,ceq.0 ,ceq.1 ,ceq.2 ,ceq.3 ,ceq.4 ,ceq.5 ,ceq.6 ,ceq.7 ,ceq.8 ,ceq.9 ,ceq.10 ,ceq.11 ,ceq.12 ,ceq.13 ,ceq.14 ,ceq.15 ,ceq.16 ,ceq.17 ,ceq.18 ,gsr_means
Complete,5737432,en,7/23/2013 18:47,7/23/2013 18:54,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,162,0:06:38,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,zombi this time was appearing next to  me. since I was expecting this I performed good in the conditions.,5,5,5,4,4,4,2,4,4,4,2,3,2,3,5,2,4,3,2,3,3,2,4,3,4,4,3,3,3,3,4,4,4,2,2,3,4,3,2,2,1,1,1,2,2,2,2,2,2,2,1,3,1,3,3,1,11.5663
Complete,5738270,en,7/23/2013 20:11,7/23/2013 20:16,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,189,0:04:07,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Yes, I was feeling more confident and played better.",4,4,4,4,4,4,2,4,4,4,2,2,2,4,4,3,4,4,3,4,3,4,4,4,4,4,3,3,4,4,5,4,4,3,4,3,4,3,3,3,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,7.3438
Complete,5739133,en,7/23/2013 21:53,7/23/2013 22:01,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,176,0:07:30,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,I experienced tiredness in my eyes ,4,4,2,5,4,4,3,4,4,4,3,3,2,2,3,1,3,4,3,4,4,4,4,2,3,4,3,4,3,4,3,3,3,3,4,4,4,3,3,3,2,3,2,3,3,3,2,2,3,3,3,3,1,2,3,3,0
Complete,5750223,en,7/24/2013 17:58,7/24/2013 18:04,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,179,0:05:28,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Did not notice a lot of changes between this condition, it did seem about the same difficulty with many more enemies than the others. There was sense of being overwhelmed at one point.     I didn't really change my gameplay much from the last condition, still fired the weapon a lot and used grenades. ",4,3,3,4,4,3,3,3,4,4,3,3,2,4,3,2,5,3,4,3,3,4,5,5,5,3,4,3,3,3,5,4,4,3,4,3,5,3,3,2,1,2,3,1,2,3,3,3,3,3,1,3,2,2,3,2,-7.4608
Complete,5753353,en,7/24/2013 20:10,7/24/2013 20:15,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,152,0:04:20,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"moved around much faster, used grenades, shot more at the headcrabs.",3,3,3,3,3,2,4,4,2,3,4,3,2,3,3,3,4,4,2,4,3,3,4,2,4,3,2,2,2,3,4,3,4,2,2,4,4,1,3,2,2,1,2,3,2,1,1,2,3,2,2,3,2,3,2,1,20.6269
Complete,5823058,en,7/25/2013 18:36,7/25/2013 18:40,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,162,0:04:42,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Given more map familiarity, I located a defensible position which I think increased performance. I am not sure if I noticed what difference the condition made.",3,3,3,4,4,4,2,4,4,3,2,2,2,4,5,2,4,4,3,4,2,4,5,4,5,3,4,3,2,3,5,4,4,2,3,4,5,2,1,3,1,1,1,1,1,2,2,2,2,3,1,1,3,1,3,2,6.785
Complete,5825543,en,7/25/2013 19:59,7/25/2013 20:05,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,178,0:06:03,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,2,4,4,3,4,5,3,4,4,4,4,3,3,2,1,4,4,3,4,2,4,4,2,4,4,3,3,3,2,5,4,4,4,2,4,4,3,2,2,3,3,2,3,3,3,2,3,3,3,2,3,1,3,3,3,0
Complete,5598205,en,7/11/2013 15:40,7/11/2013 15:45,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,144,0:04:35,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,it seems get easier,3,5,3,4,3,3,3,3,4,3,2,2,2,3,3,2,3,2,3,2,3,2,4,2,3,3,3,3,3,2,3,3,4,3,3,3,4,3,3,2,1,1,1,2,1,1,1,1,3,2,1,3,1,2,2,2,
Complete,5599104,en,7/11/2013 16:50,7/11/2013 16:54,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,174,0:04:17,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,3,2,4,4,3,4,4,4,4,3,4,2,4,2,2,4,2,4,4,3,2,4,2,4,4,4,4,3,3,4,4,4,2,4,5,4,3,3,2,2,2,3,3,3,2,2,3,3,3,2,3,1,1,3,2,
Complete,5603137,en,7/11/2013 20:32,7/11/2013 20:37,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,125,0:04:45,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"my speed changes all the time, sometimes fast, sometimes slow.",5,1,1,1,5,3,5,5,1,1,5,5,1,1,1,1,3,2,1,1,1,2,4,1,3,5,1,1,1,2,4,4,3,1,1,5,4,2,2,1,3,2,1,2,2,2,1,1,2,2,1,2,1,1,2,1,
Complete,5603934,en,7/11/2013 21:48,7/11/2013 21:51,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,171,0:03:44,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"My strategy was to be much more mobile and it seemed to work better. I could just run across the map, group up the zombies, grab the grenade and then blow up most of them. ",5,3,4,4,4,4,5,4,3,3,5,4,1,2,2,2,4,3,2,3,4,2,5,2,4,2,3,3,4,2,5,4,4,4,3,4,5,3,3,2,2,1,2,3,1,3,2,3,2,3,2,2,1,3,3,1,
Complete,5688475,en,7/17/2013 21:51,7/17/2013 21:54,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,177,0:03:09,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,4,3,4,3,5,4,3,4,3,4,4,3,4,3,3,4,4,3,3,3,4,5,4,4,3,3,3,4,4,5,5,4,4,4,3,5,1,2,1,1,2,2,2,2,3,2,2,2,3,2,1,3,1,3,1,
Complete,5707093,en,7/19/2013 17:28,7/19/2013 17:33,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,139,0:04:46,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,I found the the zombies collected in the middle so it was better to stay away from there. I did better the second try with this strategy.,4,3,4,3,2,5,2,3,3,1,4,2,2,3,2,2,4,4,1,1,1,1,5,5,3,1,1,1,1,1,5,2,4,1,1,5,5,2,3,2,1,1,3,2,1,3,3,2,3,3,2,3,2,1,1,1,
Complete,5709090,en,7/19/2013 20:28,7/19/2013 20:30,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,147,0:02:16,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"I felt this condition was the easiest, even though there were more zombies",3,4,3,4,4,4,2,4,5,2,2,2,2,4,4,2,4,2,3,2,2,2,5,4,4,2,3,2,2,2,4,4,4,2,3,3,5,1,3,1,1,1,1,1,1,2,1,1,3,1,1,3,3,1,3,1,
Complete,5709912,en,7/19/2013 21:58,7/19/2013 22:03,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,163,0:04:56,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,The Speed of the character would change constantly. I think that is the only difference i noticed.,5,4,2,5,5,5,2,5,5,4,1,3,1,5,4,1,4,1,3,1,1,2,5,2,4,2,4,1,1,1,5,4,4,1,4,5,5,3,3,1,1,2,3,1,2,1,3,3,3,3,2,2,2,3,3,3,
Complete,5710269,en,7/19/2013 23:11,7/19/2013 23:17,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,162,0:06:33,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,It was harder this time.,5,2,2,4,4,5,4,3,3,4,4,4,2,2,2,2,4,4,2,2,1,4,4,2,2,4,2,4,3,4,4,4,4,4,3,3,4,2,2,2,2,2,3,3,2,3,2,1,2,2,2,3,1,1,2,3,
Complete,5728270,en,7/22/2013 21:48,7/22/2013 21:54,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,188,0:06:08,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,2,5,4,4,5,5,4,4,4,4,5,2,4,2,1,4,4,4,4,4,4,5,2,4,5,4,4,4,3,4,4,3,4,4,3,5,2,3,2,3,3,1,2,3,2,2,3,1,3,1,3,1,3,3,3,
Complete,5737522,en,7/23/2013 18:59,7/23/2013 19:05,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,161,0:06:23,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,my speed was changes. mouse sensitivity probably too. it affected my movement and discomforted me. since it was uncomfortable to play in the conditions my performance was lower.,2,3,4,3,3,4,3,3,4,3,4,3,4,2,4,4,4,2,4,2,2,2,4,2,4,4,4,3,2,4,4,4,4,3,3,3,4,3,2,2,1,2,2,2,2,2,2,2,2,2,2,3,1,3,2,1,
Complete,5738364,en,7/23/2013 20:27,7/23/2013 20:30,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,201,0:02:59,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,yes. after each condition my gameplay is improving,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
Complete,5739232,en,7/23/2013 22:08,7/23/2013 22:12,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,180,0:04:01,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,3,3,4,4,4,4,4,4,4,4,3,2,2,3,2,3,4,3,4,4,4,4,2,3,4,3,4,4,4,3,4,3,4,3,4,4,3,3,2,2,3,2,3,3,3,2,2,3,3,3,3,2,1,3,3,
Complete,5749726,en,7/24/2013 17:16,7/24/2013 17:21,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,177,0:05:01,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,The movements were slower as I took damage from the enemies. ,4,3,3,4,3,3,4,2,4,4,2,3,3,2,4,2,5,4,3,4,4,4,5,4,4,4,3,3,3,4,5,2,4,4,4,3,4,3,3,1,1,2,2,3,3,3,3,1,3,3,2,3,2,2,3,2,
Complete,5753485,en,7/24/2013 20:23,7/25/2013 18:06,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,151,0:03:46,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"faster movements, more health packs, trying to keep zombies in front of me",3,3,4,2,3,3,2,4,3,2,4,4,2,3,2,2,4,3,2,3,2,3,4,4,4,3,2,2,2,3,4,3,4,2,2,4,4,2,3,2,1,1,2,2,2,2,1,2,3,3,2,3,3,2,2,1,
Complete,5823166,en,7/25/2013 18:49,7/25/2013 18:55,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,158,0:05:52,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"I noticed the command prompt changing the movement speed, and initially I thought is was only decreasing so it made me want to stop moving.    When I noticed it going back up I took it as an opportunity to move around a bit.    Being the 3rd time playing the game, I found it easier to expect what could happen making it much easier to survive.    Since last game I died to my blind spot, this time I checked it every 8 seconds like a rear view check while driving to make sure I would not get flanked.",3,3,3,4,4,4,3,4,4,3,3,2,2,4,4,2,5,4,4,4,2,4,5,2,5,3,4,2,2,2,5,4,5,1,2,4,5,2,1,2,1,1,1,2,1,2,1,2,1,3,1,1,3,1,3,1,
Complete,5825656,en,7/25/2013 20:12,7/25/2013 20:16,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,184,0:04:30,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"I noticed that around Round 2 or 3 that my movement speed (not aiming sensitivity, just character movement) increased dramatically. It was difficult to get used to, but ultimately it did help gameplay.",4,2,4,4,4,5,5,4,4,4,5,4,2,2,1,1,4,4,4,3,3,4,5,1,4,4,4,4,3,3,5,5,4,4,3,3,4,3,3,3,3,3,2,3,3,3,2,3,3,3,1,3,1,1,3,3,
Complete,5598450,en,7/11/2013 16:01,7/11/2013 16:06,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,147,0:04:09,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,difficulty increased as level going up. make game harder. ,3,5,3,3,3,3,4,3,3,3,2,1,2,3,2,1,3,3,3,2,3,3,5,2,4,4,3,3,3,3,4,4,4,3,3,3,4,2,2,2,1,1,1,2,1,1,1,2,3,2,1,1,2,2,2,2,
Complete,5599937,en,7/11/2013 17:03,7/11/2013 17:06,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,161,0:02:51,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,2,3,4,4,4,4,4,4,4,4,4,2,3,2,2,4,2,3,4,1,3,4,2,4,4,3,2,1,3,4,4,3,2,4,5,4,2,3,2,2,1,2,3,1,2,2,2,3,2,2,3,1,1,3,2,
Complete,5602736,en,7/11/2013 19:51,7/11/2013 19:56,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,136,0:05:45,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,2,3,2,4,5,4,4,2,2,4,4,2,1,1,1,3,2,2,1,2,2,4,2,3,4,1,2,2,4,4,4,3,3,3,5,4,3,1,1,2,1,1,1,1,2,1,1,2,2,2,2,1,1,2,1,
Complete,5604010,en,7/11/2013 22:00,7/11/2013 22:04,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,171,0:03:36,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,My character felt quite sluggish and slow. Relative to the zombies. This made my previous strategy difficult to pull off as I wasn't as maneuverable.,5,3,3,3,4,4,5,4,4,3,4,4,1,2,2,2,4,2,3,2,3,3,5,4,4,3,3,3,3,2,5,3,4,2,4,4,5,3,2,2,2,2,2,3,2,2,2,3,3,3,1,3,1,3,3,2,
Complete,5688565,en,7/17/2013 22:04,7/17/2013 22:08,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,172,0:03:01,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,2,5,3,4,4,5,4,3,5,4,4,2,3,2,3,3,4,3,4,3,4,4,1,2,2,2,3,3,4,4,5,3,4,3,3,4,3,2,3,3,3,3,3,3,3,2,2,2,3,2,1,1,1,3,1,
Complete,5707217,en,7/19/2013 17:40,7/19/2013 17:44,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,149,0:04:28,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,I didn't really change my playstyle but it seemed the safe places got more overrun quicker now,4,3,4,2,3,3,2,3,2,1,3,2,3,1,3,2,4,3,1,2,1,2,5,5,4,1,1,1,1,1,4,3,4,4,1,5,5,3,3,2,1,1,3,3,2,3,3,2,3,3,3,3,2,2,3,2,
